,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,62.46,50,20,17.27,AU,1650428332
1,Epe,6.5841,3.9834,77.81,91,92,1.77,NG,1650428332
2,Lookan,5.037,120.1027,82.74,75,98,4.99,PH,1650428332
3,Chitungwiza,-18.0127,31.0756,53.74,95,100,6.44,ZW,1650428332
4,Rawson,-43.3002,-65.1023,61.36,40,99,5.41,AR,1650427962
5,Kailua,21.4022,-157.7394,78.78,74,30,7.0,US,1650428307
6,Loreto,22.2667,-101.9667,68.76,52,53,17.2,MX,1650428333
7,Rikitea,-23.1203,-134.9692,78.13,74,15,14.43,PF,1650428333
8,Egvekinot,66.3167,-179.1667,28.27,86,100,1.79,RU,1650428333
9,Port Macquarie,-31.4333,152.9167,76.89,47,0,10.67,AU,1650428333
10,Dikson,73.5069,80.5464,10.74,87,98,5.48,RU,1650428333
11,Hasaki,35.7333,140.8333,57.29,78,100,11.12,JP,1650427937
12,Cockburn Town,21.4612,-71.1419,79.0,80,75,12.19,TC,1650428333
13,Kapaa,22.0752,-159.319,80.58,80,75,20.71,US,1650428333
14,Arraial do Cabo,-22.9661,-42.0278,72.34,81,0,2.89,BR,1650428334
15,Mataura,-46.1927,168.8643,63.48,68,100,4.38,NZ,1650428334
16,Albany,42.6001,-73.9662,39.63,72,71,1.01,US,1650428334
17,Yellowknife,62.456,-114.3525,21.72,53,20,5.75,CA,1650428334
18,Bealanana,-14.55,48.7333,65.66,95,94,4.29,MG,1650428334
19,Atuona,-9.8,-139.0333,79.36,71,20,17.38,PF,1650428335
20,Port Alfred,-33.5906,26.891,63.18,94,41,13.06,ZA,1650428335
21,Bluff,-46.6,168.3333,63.81,65,100,7.36,NZ,1650428335
22,Cape Town,-33.9258,18.4232,72.12,34,76,4.61,ZA,1650428083
23,Kushima,31.4583,131.2333,72.07,46,94,6.8,JP,1650428127
24,Vanimo,-2.6741,141.3028,84.79,72,57,5.91,PG,1650428336
25,Norman Wells,65.282,-126.8329,33.84,25,0,4.61,CA,1650428336
26,Busselton,-33.65,115.3333,70.14,44,3,6.4,AU,1650428336
27,Bengkulu,-3.8004,102.2655,84.15,68,100,7.14,ID,1650428092
28,Dunmore East,52.1514,-6.9861,42.21,75,1,6.33,IE,1650428337
29,Ushuaia,-54.8,-68.3,44.26,70,20,2.3,AR,1650428337
30,Tuktoyaktuk,69.4541,-133.0374,8.6,92,100,2.3,CA,1650428337
31,Castro,-24.7911,-50.0119,54.28,96,1,4.36,BR,1650428337
32,Pakhtakoron,40.1571,68.7466,63.64,71,99,5.26,TJ,1650428337
33,Kirensk,57.7853,108.1119,32.72,73,100,11.3,RU,1650428338
34,Geraldton,-28.7667,114.6,82.81,23,96,10.36,AU,1650428338
35,Longyearbyen,78.2186,15.6401,24.64,68,40,20.71,SJ,1650428338
36,Ajdabiya,30.7554,20.2263,54.18,71,20,6.78,LY,1650428338
37,Khatanga,71.9667,102.5,10.51,87,69,5.48,RU,1650428339
38,Teya,60.3778,92.6267,26.04,73,100,9.15,RU,1650428339
39,Clyde River,70.4692,-68.5914,-14.22,83,88,3.85,CA,1650427939
40,Avarua,-21.2078,-159.775,77.05,83,75,6.91,CK,1650428339
41,Santa Luzia,-19.7697,-43.8514,65.3,72,0,3.44,BR,1650428339
42,Sitka,57.0531,-135.33,51.69,37,75,5.75,US,1650428339
43,Jamestown,42.097,-79.2353,37.02,66,100,16.11,US,1650428340
44,Vaini,-21.2,-175.2,75.36,94,75,4.61,TO,1650428340
45,Faanui,-16.4833,-151.75,80.94,69,1,3.49,PF,1650428340
46,Pevek,69.7008,170.3133,28.35,80,48,2.51,RU,1650428340
47,Departamento de Maldonado,-34.6667,-54.9167,64.22,89,73,6.98,UY,1650428340
48,Bredasdorp,-34.5322,20.0403,59.38,78,50,4.07,ZA,1650428340
49,Nouadhibou,20.931,-17.0347,66.18,88,93,11.5,MR,1650428341
50,Qaanaaq,77.484,-69.3632,-8.84,88,100,6.96,GL,1650428341
51,Saint Paul Harbor,57.79,-152.4072,38.71,81,75,0.0,US,1650428341
52,Alyangula,-13.8483,136.4192,78.67,89,75,8.05,AU,1650428077
53,Airai,-8.9266,125.4092,76.28,47,85,2.55,TL,1650428341
54,Dingle,10.9995,122.6711,87.51,60,80,11.34,PH,1650428341
55,Saskylakh,71.9167,114.0833,10.53,90,76,8.59,RU,1650428342
56,Camabatela,-8.1881,15.375,62.38,100,100,2.95,AO,1650428342
57,Matagami,49.7502,-77.6328,23.11,93,100,18.41,CA,1650428342
58,Chokurdakh,70.6333,147.9167,24.01,89,99,5.79,RU,1650428342
59,Vinkovci,45.2883,18.8047,42.75,93,100,6.91,HR,1650428342
60,Barrow,71.2906,-156.7887,15.82,73,0,10.36,US,1650428342
